,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
358,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-28,1534.8494,1538.0184,1536.7115,1579.2213,1562.9795,1095257200,55064925604,28.1301,0.018328
359,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-29,1562.9795,1567.8825,1546.6782,1576.8712,1562.0783,1039039200,51286649082,-0.9012,-0.000577
360,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-06-30,1562.0783,1564.3164,1558.9567,1603.3523,1588.2167,1153499100,61925901624,26.1384,0.016733
361,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-01,1588.2167,1587.5273,1569.9003,1594.1122,1579.8041,1041176900,59093844796,-8.4126,-0.005297
362,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-02,1579.8041,1563.8279,1527.196,1564.8776,1538.1577,951421200,56474886976,-41.6464,-0.026362
363,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-05,1538.1577,1545.6784,1545.6784,1581.0663,1575.8944,980606200,59017051094,37.7367,0.024534
364,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-06,1575.8944,1580.2838,1510.7134,1584.6855,1532.7917,1107075400,64604987629,-43.1027,-0.027351
365,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-07,1532.7917,1523.8271,1519.4098,1573.1517,1570.028,1033986100,56581070465,37.2363,0.024293
366,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-08,1570.028,1577.4971,1577.4094,1616.7019,1610.7749,1173478800,66145754568,40.7469,0.025953
367,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-09,1610.7749,1598.2811,1556.5771,1602.0001,1583.7142,1014781800,56891995380,-27.0607,-0.0168
368,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-12,1583.7142,1593.5735,1576.7171,1611.5968,1601.6058,1053846300,61743101788,17.8916,0.011297
369,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-13,1601.6058,1602.1191,1573.7824,1621.714,1590.9772,1111153600,59109874205,-10.6286,-0.006636
370,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-14,1590.9772,1579.0331,1556.6854,1585.6033,1556.7196,919854600,49704057283,-34.2576,-0.021532
371,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-15,1556.7196,1549.277,1536.895,1567.2733,1560.7038,937689400,50086693911,3.9842,0.002559
372,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-16,1560.7038,1568.1706,1523.6395,1569.2475,1525.2341,950971200,51914556920,-35.4697,-0.022727
373,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-19,1525.2341,1514.8295,1503.1132,1530.5864,1514.1808,852647500,46666353370,-11.0533,-0.007247
374,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-20,1514.1808,1505.0779,1501.9213,1529.266,1522.6265,790702900,41626662283,8.4457,0.005578
375,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-21,1522.6265,1528.5975,1527.6022,1576.7745,1565.6381,916491200,53221651744,43.0116,0.028248
376,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-22,1565.6381,1570.4877,1549.447,1584.3174,1582.1315,1235706300,73695829527,16.4934,0.010535
377,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-23,1582.1315,1593.3136,1548.3876,1593.7044,1563.4901,1148840100,66628546667,-18.6414,-0.011782
378,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-26,1563.4901,1559.8363,1496.651,1566.676,1556.979,1262843500,73792406292,-6.5111,-0.004164
379,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-27,1556.979,1556.9327,1541.3577,1627.848,1545.2893,1859824800,100863647335,-11.6897,-0.007508
380,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-28,1545.2893,1532.4201,1476.5899,1555.246,1518.7027,1361485400,72690828020,-26.5866,-0.017205
381,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-29,1518.7027,1554.1336,1545.1058,1598.3409,1588.4653,1281165500,75953387787,69.7626,0.045936
382,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-07-30,1588.4653,1582.5752,1570.4464,1608.9628,1591.2189,1528093000,84057006734,2.7536,0.001733
383,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-02,1591.2189,1594.0332,1572.1135,1619.3592,1599.4739,1512410200,84982615023,8.255,0.005188
384,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-03,1599.4739,1586.3501,1558.1014,1593.0311,1564.1926,1365959600,80646940226,-35.2813,-0.022058
385,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-04,1564.1926,1566.4455,1564.462,1608.498,1605.8939,1255165100,73505017897,41.7013,0.02666
386,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-05,1605.8939,1606.6509,1584.3093,1616.0522,1604.8067,1262217900,75699982985,-1.0872,-0.000677
387,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-06,1604.8067,1630.3025,1575.4241,1639.1861,1586.6732,1260231600,75773482527,-18.1335,-0.011299
388,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-09,1586.6732,1567.4415,1548.6866,1582.9184,1574.4378,1071350900,64946507294,-12.2354,-0.007711
389,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-10,1574.4378,1574.0119,1569.277,1592.827,1588.1948,1120330200,66588106522,13.757,0.008738
390,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-11,1588.1948,1589.4269,1564.9702,1593.1532,1578.7892,1322120900,66406378796,-9.4056,-0.005922
391,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-12,1578.7892,1572.1462,1570.3497,1604.7333,1586.5006,1288912800,66518920447,7.7114,0.004884
392,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-13,1586.5006,1580.1244,1549.6766,1588.2323,1552.7807,1257440600,68917960763,-33.7199,-0.021254
393,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-16,1552.7807,1547.3948,1535.3542,1565.9964,1547.931,1095303300,65695098997,-4.8497,-0.003123
394,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-17,1547.931,1544.4024,1506.7171,1555.4482,1509.2474,1090961300,58317663859,-38.6836,-0.024991
395,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-18,1509.2474,1514.4591,1501.1767,1530.2449,1507.9886,1036616000,54323878974,-1.2588,-0.000834
396,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-19,1507.9886,1509.7193,1508.1674,1553.1607,1546.11,987217900,56067593288,38.1214,0.02528
397,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-20,1546.11,1537.9117,1514.0672,1557.106,1529.0863,1037603500,57383894234,-17.0237,-0.011011
398,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-23,1529.0863,1534.3905,1524.1951,1568.8396,1564.1108,1154617600,67456763825,35.0245,0.022906
399,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-24,1564.1108,1567.6996,1550.8781,1586.5219,1578.0306,1171709800,69500388700,13.9198,0.008899
400,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-25,1578.0306,1573.7417,1535.0926,1574.395,1542.7755,1084754900,67461347058,-35.2551,-0.022341
